frame,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
29,0.9329999999999999,0.98,1,10.4,38.6,500.5,0.22899999999999998,0.20199999999999999,0.019,-0.024594,0.338801,-0.9405370000000001,-0.29488200000000003,0.375242,-0.8787709999999999,-0.174,0.374,0.14,0.14,0.0,0.17,1.07,0.98,0.0,0.92,0.34,0.19,0.39,0.7,0.77,0.81,0.0,0.03,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
30,0.9670000000000001,0.98,1,11.0,38.5,500.9,0.233,0.184,0.02,-0.047996,0.338977,-0.9395700000000001,-0.279896,0.39324499999999996,-0.8757950000000001,-0.179,0.38299999999999995,0.03,0.11,0.0,0.2,1.09,0.98,0.0,0.82,0.32,0.26,0.42,0.66,0.94,0.79,0.0,0.02,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
31,1.0,0.98,1,10.1,37.4,500.3,0.248,0.19699999999999998,0.023,-0.017512,0.362762,-0.931717,-0.297035,0.40163699999999997,-0.86629,-0.17300000000000001,0.402,0.12,0.15,0.0,0.17,1.14,1.02,0.0,0.86,0.35,0.19,0.45,0.7,0.96,0.74,0.0,0.08,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
32,1.033,0.98,1,10.1,36.7,501.5,0.24,0.182,0.02,-0.05269600000000001,0.34655199999999997,-0.936549,-0.31519,0.376637,-0.871091,-0.201,0.381,0.14,0.13,0.0,0.23,1.2,1.04,0.0,0.83,0.33,0.2,0.34,0.74,0.97,0.78,0.0,0.11,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
33,1.067,0.98,1,9.5,36.0,502.5,0.23399999999999999,0.179,0.019,-0.05285700000000001,0.346539,-0.9365450000000001,-0.31145900000000004,0.359869,-0.879481,-0.198,0.371,0.29,0.25,0.0,0.24,1.22,1.13,0.0,0.85,0.36,0.18,0.37,0.83,0.79,0.83,0.0,0.09,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
34,1.1,0.98,1,8.5,34.7,502.9,0.23,0.182,0.017,-0.055314,0.339974,-0.938807,-0.311843,0.354604,-0.881482,-0.19899999999999998,0.365,0.3,0.16,0.0,0.28,1.17,1.05,0.0,0.85,0.33,0.26,0.4,0.86,0.7,0.88,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,1.133,0.98,1,6.7,33.2,506.1,0.24100000000000002,0.198,0.023,-0.053262000000000004,0.3303,-0.942372,-0.297729,0.38190599999999997,-0.8749319999999999,-0.191,0.374,0.36,0.33,0.0,0.26,1.14,1.1,0.0,0.78,0.31,0.27,0.51,0.85,0.69,0.82,0.0,0.09,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36,1.167,0.98,1,5.6,31.3,507.2,0.244,0.198,0.025,-0.043304,0.326822,-0.9440930000000001,-0.314774,0.38040100000000004,-0.869605,-0.195,0.37200000000000005,0.31,0.29,0.0,0.37,1.07,1.07,0.0,0.76,0.22,0.19,0.45,0.74,0.56,0.81,0.0,0.19,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,1.2,0.98,1,4.8,29.4,506.9,0.243,0.20600000000000002,0.026000000000000002,-0.037439,0.34023200000000003,-0.9395959999999999,-0.309146,0.388391,-0.8680899999999999,-0.18899999999999997,0.38299999999999995,0.3,0.52,0.0,0.37,1.06,1.33,0.0,0.72,0.21,0.08,0.51,0.66,0.47,0.84,0.0,0.13,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,1.2329999999999999,0.98,1,4.2,27.9,506.1,0.23399999999999999,0.20600000000000002,0.03,-0.0406,0.325631,-0.944625,-0.33921799999999996,0.37888099999999997,-0.861034,-0.207,0.37200000000000005,0.35,0.45,0.0,0.47,1.01,1.36,0.0,0.77,0.19,0.03,0.68,0.55,0.3,0.87,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39,1.2670000000000001,0.98,1,3.7,26.7,505.0,0.22899999999999998,0.21,0.032,-0.04927,0.32533,-0.9443159999999999,-0.331013,0.369836,-0.868131,-0.207,0.366,0.39,0.62,0.0,0.36,1.01,1.47,0.0,0.76,0.22,0.03,0.87,0.63,0.28,0.8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,1.3,0.98,1,3.0,25.1,504.8,0.218,0.214,0.036000000000000004,-0.064973,0.316244,-0.94645,-0.337735,0.361516,-0.8690459999999999,-0.218,0.35700000000000004,0.52,0.53,0.0,0.48,1.03,1.39,0.0,0.75,0.21,0.04,0.93,0.58,0.13,0.74,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,1.3330000000000002,0.98,1,2.5,24.1,503.4,0.21100000000000002,0.207,0.037000000000000005,-0.055576,0.30154899999999996,-0.951829,-0.335395,0.36483699999999997,-0.8685649999999999,-0.212,0.35100000000000003,0.66,0.53,0.0,0.41,1.05,1.32,0.0,0.72,0.24,0.06,0.89,0.59,0.1,0.65,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
42,1.367,0.98,1,2.4,24.2,503.7,0.21,0.20800000000000002,0.039,-0.058797,0.298483,-0.9526020000000001,-0.334982,0.362833,-0.869563,-0.213,0.348,0.76,0.41,0.0,0.51,1.05,1.35,0.0,0.72,0.3,0.06,0.92,0.59,0.11,0.63,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,1.4,0.98,1,1.9,23.3,503.5,0.20600000000000002,0.21,0.04,-0.055834,0.295596,-0.95368,-0.33685,0.357068,-0.8712260000000001,-0.212,0.34299999999999997,0.85,0.46,0.0,0.49,1.0,1.43,0.0,0.79,0.36,0.05,1.02,0.6,0.22,0.61,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,1.433,0.98,1,1.2,22.4,501.8,0.19699999999999998,0.215,0.042,-0.071668,0.277054,-0.9581780000000001,-0.351244,0.34526100000000004,-0.8703,-0.22699999999999998,0.32799999999999996,0.8,0.59,0.0,0.59,0.94,1.57,0.0,0.83,0.4,0.0,1.08,0.63,0.17,0.63,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,1.4669999999999999,0.98,1,0.5,21.9,500.6,0.191,0.214,0.046,-0.084473,0.265819,-0.9603149999999999,-0.333455,0.335953,-0.880877,-0.223,0.316,0.82,0.64,0.0,0.63,0.95,1.65,0.0,0.88,0.43,0.0,1.12,0.6,0.15,0.6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,1.5,0.98,1,-0.0,21.8,500.8,0.187,0.21600000000000003,0.048,-0.09887699999999999,0.274381,-0.9565239999999999,-0.34071,0.339316,-0.8768020000000001,-0.235,0.32299999999999995,0.86,0.77,0.0,0.47,1.06,1.85,0.0,0.92,0.43,0.0,0.98,0.72,0.13,0.53,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
47,1.5330000000000001,0.98,1,-0.3,21.9,495.5,0.174,0.198,0.053,-0.026001999999999997,0.297998,-0.9542120000000001,-0.326962,0.34065,-0.8815069999999999,-0.19,0.335,0.95,0.83,0.02,0.23,1.22,2.1,0.0,1.0,0.41,0.01,0.88,0.71,0.2,0.4,0.0,0.0,0.31,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,1.567,0.98,1,-0.9,22.4,496.1,0.161,0.193,0.053,-0.075066,0.330705,-0.940744,-0.298509,0.36990300000000004,-0.8798090000000001,-0.20199999999999999,0.36700000000000005,0.91,0.89,0.02,0.08,1.26,1.99,0.0,0.87,0.32,0.01,0.78,0.68,0.29,0.39,0.0,0.0,0.31,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
49,1.6,0.98,1,-1.4,22.5,494.6,0.151,0.193,0.051,-0.07195900000000001,0.263181,-0.962059,-0.352182,0.348225,-0.8687389999999999,-0.228,0.322,0.94,0.73,0.02,0.11,1.19,1.81,0.0,0.79,0.28,0.01,0.81,0.59,0.26,0.39,0.0,0.0,0.31,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
50,1.633,0.98,1,-1.9,23.0,495.1,0.168,0.207,0.047,-0.142258,0.260036,-0.9550620000000001,-0.36958,0.299591,-0.879577,-0.272,0.29600000000000004,0.94,0.67,0.0,0.24,1.05,1.62,0.0,0.65,0.29,0.0,0.91,0.65,0.32,0.41,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,1.6669999999999998,0.98,1,-2.4,23.7,496.9,0.174,0.217,0.043,-0.140017,0.259322,-0.9555870000000001,-0.358664,0.318761,-0.8773549999999999,-0.266,0.306,0.98,0.74,0.0,0.25,0.98,1.57,0.0,0.76,0.36,0.0,0.91,0.64,0.21,0.36,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52,1.7,0.98,1,-2.7,24.1,496.1,0.17800000000000002,0.213,0.04,-0.130467,0.252762,-0.958692,-0.348466,0.318946,-0.881388,-0.255,0.301,0.93,0.85,0.0,0.32,0.94,1.32,0.0,0.76,0.39,0.0,0.95,0.69,0.25,0.33,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
53,1.733,0.98,1,-2.8,24.8,495.9,0.179,0.21,0.039,-0.135671,0.277253,-0.9511700000000001,-0.349711,0.33670300000000003,-0.8742620000000001,-0.26,0.324,0.85,0.85,0.0,0.35,0.97,1.18,0.0,0.79,0.36,0.0,0.87,0.56,0.21,0.33,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,1.767,0.98,1,-2.9,25.5,496.0,0.18100000000000002,0.207,0.038,-0.138854,0.263071,-0.954732,-0.342616,0.339866,-0.8758450000000001,-0.257,0.318,0.95,0.91,0.0,0.39,1.0,1.22,0.0,0.74,0.32,0.0,0.79,0.56,0.25,0.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55,1.8,0.98,1,-2.8,26.3,496.1,0.185,0.201,0.038,-0.120743,0.277903,-0.952991,-0.329131,0.348051,-0.8778,-0.24100000000000002,0.32899999999999996,0.98,1.03,0.0,0.45,1.03,1.43,0.0,0.71,0.28,0.0,0.8,0.49,0.27,0.28,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56,1.8330000000000002,0.98,1,-2.3,27.4,496.0,0.17800000000000002,0.18899999999999997,0.042,-0.033801,0.328372,-0.943944,-0.281413,0.357914,-0.890339,-0.17,0.358,1.06,1.15,0.0,0.34,1.01,1.57,0.0,0.65,0.23,0.02,0.69,0.55,0.33,0.31,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
57,1.867,0.98,1,-1.6,28.5,494.8,0.177,0.174,0.046,-0.009894,0.355313,-0.934695,-0.208262,0.359644,-0.909551,-0.11800000000000001,0.37,1.0,1.25,0.0,0.37,0.97,1.58,0.0,0.57,0.17,0.02,0.55,0.56,0.4,0.46,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
