frame,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
11,0.33299999999999996,0.93,1,42.1,25.1,593.3,0.361,0.067,-0.004,0.044868,0.283389,-0.9579549999999999,-0.256237,0.190644,-0.947627,-0.11,0.244,0.96,0.22,2.6,0.6,1.37,1.61,0.39,0.76,0.83,2.15,0.0,0.82,0.0,3.14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
12,0.36700000000000005,0.98,1,43.2,23.5,601.2,0.375,0.07400000000000001,-0.013000000000000001,0.030177,0.284548,-0.9581870000000001,-0.107429,0.256232,-0.960627,-0.04,0.275,0.85,0.28,2.21,0.72,1.39,1.76,0.52,0.81,0.82,2.18,0.0,0.59,0.0,2.82,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
13,0.4,0.98,1,44.8,22.2,606.3,0.392,0.084,-0.011000000000000001,0.056102,0.24771700000000002,-0.9672069999999999,-0.160477,0.23009699999999997,-0.9598450000000001,-0.054000000000000006,0.243,0.67,0.08,1.88,0.63,1.39,1.65,0.6,0.71,0.83,2.1,0.0,0.32,0.0,2.66,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,0.433,0.98,1,45.6,19.8,600.3,0.342,0.083,-0.002,0.07507899999999999,0.24928899999999998,-0.965514,-0.211062,0.232548,-0.949407,-0.071,0.247,0.55,0.19,1.83,0.69,1.3,1.64,0.56,0.7,0.84,2.17,0.0,0.18,0.0,2.48,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,0.467,0.98,1,46.8,17.7,599.5,0.33299999999999996,0.08900000000000001,0.006999999999999999,0.049093,0.234181,-0.9709530000000001,-0.23860399999999998,0.23623000000000002,-0.941946,-0.099,0.24100000000000002,0.66,0.36,2.07,0.71,1.22,1.28,0.46,0.69,0.82,2.28,0.0,0.19,0.0,2.34,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,0.5,0.98,1,48.0,16.0,595.5,0.327,0.094,0.019,0.059522000000000005,0.240889,-0.968726,-0.198011,0.309531,-0.9300440000000001,-0.073,0.282,1.09,0.64,2.17,0.89,1.3,1.5,0.4,0.72,0.82,2.34,0.0,0.24,0.0,2.07,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,0.5329999999999999,0.98,1,49.7,14.6,599.1,0.335,0.096,0.023,0.050270999999999996,0.303564,-0.951484,-0.17507799999999998,0.30979,-0.9345469999999999,-0.066,0.314,1.38,0.72,2.33,0.77,1.39,1.87,0.43,0.68,0.79,2.26,0.0,0.31,0.0,1.91,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,0.5670000000000001,0.98,1,49.3,14.1,591.9,0.32799999999999996,0.092,0.027999999999999997,0.009053,0.30244699999999997,-0.9531229999999999,-0.212115,0.31205900000000003,-0.9260809999999999,-0.10800000000000001,0.316,1.64,0.83,2.34,0.55,1.55,2.25,0.49,0.66,0.79,2.28,0.0,0.37,0.01,1.59,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,0.6,0.93,1,51.6,14.3,602.3,0.317,0.069,0.021,0.101645,0.42965299999999995,-0.8972549999999999,-0.29379299999999997,0.423476,-0.856944,-0.109,0.45299999999999996,1.76,0.84,2.37,0.25,1.53,2.33,0.64,0.75,0.83,2.41,0.0,0.33,0.01,1.27,0.0,0.0,0.1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,0.633,0.98,1,53.6,14.2,608.7,0.332,0.063,0.016,0.114521,0.475355,-0.872309,-0.212209,0.44150100000000003,-0.8718049999999999,-0.055999999999999994,0.484,1.76,0.89,2.35,0.24,1.46,2.2,0.62,0.83,0.83,2.55,0.0,0.27,0.11,1.09,0.0,0.0,0.1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,0.667,0.98,1,54.1,12.4,592.9,0.322,0.053,0.016,0.074533,0.49778999999999995,-0.864089,-0.22424299999999997,0.435825,-0.871649,-0.086,0.493,1.56,1.11,2.33,0.54,1.27,2.23,0.5,0.85,0.76,2.56,0.0,0.26,0.22,1.2,0.0,0.0,0.1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,0.7,0.98,1,55.7,10.5,587.0,0.332,0.045,0.02,0.06597,0.360833,-0.9302940000000001,-0.215295,0.439569,-0.872025,-0.083,0.418,1.72,1.52,2.44,0.86,1.1,2.37,0.22,0.76,0.68,2.64,0.0,0.42,0.3,1.4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,0.733,0.98,1,57.2,8.8,581.2,0.342,0.033,0.019,0.043623,0.326918,-0.944045,-0.12383,0.32581,-0.937291,-0.043,0.33399999999999996,1.97,1.58,2.81,1.06,0.88,2.38,0.2,0.71,0.57,2.24,0.0,0.51,0.2,1.43,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.767,0.88,1,61.7,6.5,581.3,0.348,0.009000000000000001,0.017,0.022125,0.319496,-0.9473290000000001,-0.173482,0.400304,-0.8998120000000001,-0.08199999999999999,0.37200000000000005,2.4,1.59,3.12,1.0,0.69,2.46,0.22,0.67,0.53,1.76,0.0,0.4,0.08,1.14,0.01,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.8,0.88,1,62.7,5.8,578.9,0.38299999999999995,0.006999999999999999,0.016,0.028993,0.303759,-0.952308,-0.18044000000000002,0.41772299999999996,-0.8904770000000001,-0.08199999999999999,0.373,2.41,1.21,3.51,0.88,0.55,2.38,0.35,0.52,0.49,1.16,0.0,0.31,0.0,0.93,0.01,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.833,0.88,1,63.1,5.4,571.3,0.39,0.012,0.013000000000000001,0.058645,0.343379,-0.937364,-0.19184600000000002,0.45200500000000005,-0.8711409999999999,-0.07400000000000001,0.414,2.55,1.15,3.55,0.66,0.49,2.26,0.36,0.36,0.51,1.13,0.0,0.22,0.0,0.68,0.01,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.867,0.88,1,63.9,5.8,571.7,0.41600000000000004,0.01,0.006999999999999999,0.090526,0.360419,-0.9283870000000001,-0.15378599999999998,0.443229,-0.8831180000000001,-0.035,0.418,2.65,0.89,3.53,0.51,0.45,2.11,0.41,0.22,0.61,1.17,0.0,0.18,0.0,0.54,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.9,0.88,1,63.9,6.9,573.0,0.44,0.023,0.002,0.061075,0.365078,-0.9289709999999999,-0.14263,0.43114300000000005,-0.8909389999999999,-0.045,0.41200000000000003,2.85,0.98,3.47,0.72,0.43,1.89,0.46,0.34,0.69,1.26,0.0,0.22,0.0,0.3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.9329999999999999,0.88,1,63.7,8.1,570.4,0.451,0.02,-0.003,0.09010499999999999,0.332287,-0.938865,-0.174274,0.325866,-0.929215,-0.045,0.33899999999999997,2.89,1.07,3.41,0.96,0.47,1.92,0.51,0.38,0.79,1.28,0.0,0.26,0.0,0.09,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.9670000000000001,0.88,1,63.9,8.2,573.6,0.461,0.018000000000000002,-0.006,0.083126,0.33838,-0.9373309999999999,-0.11635999999999999,0.338624,-0.933699,-0.018000000000000002,0.34700000000000003,3.02,1.36,3.46,1.16,0.56,1.89,0.47,0.54,0.85,1.48,0.0,0.52,0.0,0.02,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.0,0.88,1,63.8,9.2,572.4,0.452,0.002,-0.01,0.10533499999999998,0.31904099999999996,-0.9418690000000001,-0.132044,0.351598,-0.9267920000000001,-0.013999999999999999,0.345,2.74,1.03,3.31,1.12,0.67,1.77,0.33,0.57,0.95,1.65,0.0,0.61,0.0,0.12,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.033,0.88,1,63.4,10.4,574.5,0.43799999999999994,-0.001,-0.009000000000000001,0.10426700000000001,0.309782,-0.9450729999999999,-0.182193,0.351077,-0.91845,-0.042,0.341,2.76,1.03,3.43,1.02,0.84,1.94,0.2,0.67,1.05,1.8,0.0,0.71,0.0,0.22,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.067,0.93,1,62.2,11.1,574.3,0.423,-0.003,-0.009000000000000001,0.126211,0.30814600000000003,-0.9429299999999999,-0.220782,0.328071,-0.918491,-0.051,0.32899999999999996,2.7,0.81,3.2,0.99,0.92,2.08,0.09,0.68,1.12,1.91,0.0,0.66,0.0,0.37,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.1,0.88,1,61.1,11.6,572.9,0.40399999999999997,-0.0,-0.016,0.111988,0.295059,-0.948893,-0.20947800000000003,0.32900100000000004,-0.920803,-0.052000000000000005,0.322,2.9,1.23,3.28,0.99,0.98,2.35,0.06,0.75,1.17,1.98,0.0,0.51,0.0,0.38,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.133,0.88,1,60.7,12.5,576.1,0.41600000000000004,-0.002,-0.022000000000000002,0.127777,0.283354,-0.950465,-0.22179699999999997,0.330404,-0.917409,-0.05,0.317,2.76,1.04,3.0,0.95,0.96,2.27,0.03,0.83,1.11,2.03,0.0,0.35,0.03,0.4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.167,0.88,1,60.2,13.2,576.5,0.401,-0.006999999999999999,-0.021,0.113731,0.293609,-0.9491360000000001,-0.181334,0.328487,-0.9269379999999999,-0.036000000000000004,0.32,2.46,0.82,2.73,0.93,0.8,2.06,0.03,0.97,1.03,1.79,0.0,0.23,0.03,0.37,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,1.2,0.98,1,59.7,14.1,578.4,0.40299999999999997,-0.0,-0.03,0.080651,0.28562,-0.954943,-0.10457799999999999,0.285911,-0.952533,-0.013000000000000001,0.29100000000000004,2.13,0.61,2.44,0.64,0.64,2.08,0.08,1.05,0.89,1.74,0.0,0.22,0.03,0.39,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,1.2329999999999999,0.98,1,59.4,14.7,579.0,0.385,-0.004,-0.03,0.092901,0.29035500000000003,-0.952399,-0.125167,0.3193,-0.939351,-0.017,0.312,2.03,0.7,2.5,0.65,0.45,2.03,0.17,1.04,0.79,1.69,0.0,0.16,0.0,0.41,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,1.2670000000000001,0.98,1,58.8,14.9,576.9,0.37200000000000005,-0.001,-0.033,0.107156,0.261867,-0.9591370000000001,-0.193136,0.35791,-0.9135639999999999,-0.046,0.32,2.14,0.74,2.74,0.63,0.43,1.94,0.31,0.97,0.69,1.84,0.0,0.11,0.0,0.42,0.0,0.04,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1.3,0.98,1,58.7,15.3,579.1,0.375,-0.002,-0.034,0.108322,0.245962,-0.963208,-0.157868,0.32279,-0.933212,-0.026000000000000002,0.29100000000000004,2.27,0.82,2.73,0.93,0.29,1.68,0.34,0.91,0.59,1.68,0.0,0.11,0.0,0.46,0.0,0.09,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.3330000000000002,0.98,1,58.1,14.9,575.8,0.36700000000000005,0.003,-0.028999999999999998,0.120716,0.199668,-0.972399,-0.201693,0.293696,-0.934378,-0.042,0.253,2.22,0.92,2.62,1.0,0.22,1.52,0.27,0.92,0.5,1.54,0.0,0.16,0.0,0.5,0.0,0.12,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1.367,0.98,1,58.1,14.9,575.2,0.368,0.004,-0.031,0.12025899999999999,0.199682,-0.972453,-0.218937,0.275872,-0.9359280000000001,-0.052000000000000005,0.244,2.13,0.95,2.69,1.22,0.23,1.31,0.16,0.81,0.46,1.25,0.0,0.22,0.0,0.59,0.0,0.07,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.4,0.98,1,57.7,14.1,574.2,0.361,0.008,-0.03,0.10858399999999999,0.19638599999999998,-0.9744959999999999,-0.21525999999999998,0.256108,-0.942376,-0.055999999999999994,0.23199999999999998,1.95,0.83,2.78,1.26,0.25,1.04,0.14,0.64,0.43,1.08,0.0,0.23,0.0,0.58,0.0,0.03,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1.433,0.98,1,57.3,12.6,572.4,0.342,0.01,-0.025,0.11838,0.196701,-0.973291,-0.272017,0.25081,-0.929032,-0.081,0.231,1.93,0.79,2.8,1.27,0.26,0.92,0.2,0.54,0.48,1.15,0.0,0.25,0.01,0.52,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1.4669999999999999,0.98,1,57.5,11.4,574.3,0.35200000000000004,0.001,-0.018000000000000002,0.12126400000000001,0.21173499999999998,-0.969775,-0.16253900000000002,0.336386,-0.9275909999999999,-0.022000000000000002,0.281,2.05,0.78,2.73,1.08,0.23,0.97,0.18,0.56,0.51,1.28,0.0,0.25,0.02,0.5,0.0,0.03,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1.5,0.98,1,57.6,10.0,573.1,0.35100000000000003,-0.001,-0.023,0.120843,0.202328,-0.971834,-0.126209,0.35745,-0.925365,-0.003,0.287,2.34,0.82,2.86,1.13,0.33,0.96,0.11,0.58,0.63,1.43,0.0,0.18,0.04,0.5,0.0,0.03,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1.5330000000000001,0.98,1,58.0,8.9,571.4,0.363,-0.005,-0.021,0.11003800000000001,0.235551,-0.965612,-0.150268,0.38824699999999995,-0.909222,-0.021,0.321,2.62,1.06,2.83,1.1,0.44,0.81,0.0,0.54,0.64,1.38,0.0,0.11,0.08,0.46,0.0,0.03,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1.567,0.98,1,58.6,8.0,569.9,0.366,-0.004,-0.027000000000000003,0.114423,0.23860900000000002,-0.9643510000000001,-0.158104,0.355261,-0.921299,-0.023,0.305,2.62,1.0,2.84,0.97,0.63,0.85,0.0,0.61,0.69,1.38,0.0,0.02,0.06,0.28,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1.6,0.98,1,59.3,7.3,570.6,0.379,-0.006999999999999999,-0.028999999999999998,0.10323099999999999,0.257902,-0.9606399999999999,-0.150174,0.34822,-0.925306,-0.025,0.311,2.39,0.71,2.62,0.73,0.71,1.08,0.09,0.65,0.67,1.38,0.0,0.0,0.07,0.13,0.0,0.06,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1.633,0.98,1,59.6,6.8,571.2,0.369,-0.005,-0.028999999999999998,0.12828299999999998,0.263964,-0.9559639999999999,-0.169348,0.319181,-0.9324399999999999,-0.022000000000000002,0.3,2.16,0.41,2.52,0.7,0.8,1.14,0.15,0.8,0.69,1.33,0.0,0.0,0.08,0.03,0.0,0.09,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1.6669999999999998,0.98,1,59.6,6.1,570.8,0.369,-0.001,-0.03,0.115817,0.250975,-0.96104,-0.085437,0.302194,-0.9494100000000001,0.016,0.282,2.06,0.44,2.49,0.77,0.87,1.12,0.15,0.81,0.71,1.37,0.0,0.14,0.2,0.0,0.0,0.22,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52,1.7,0.98,1,59.6,5.3,570.2,0.365,0.002,-0.027000000000000003,0.122767,0.263027,-0.956946,-0.10673599999999998,0.309576,-0.944865,0.008,0.292,2.16,0.56,2.43,0.85,0.93,0.81,0.06,0.83,0.72,1.45,0.0,0.23,0.18,0.0,0.0,0.26,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53,1.733,0.98,1,59.9,4.4,569.8,0.36200000000000004,0.006,-0.027999999999999997,0.124465,0.248937,-0.9604889999999999,-0.128999,0.295574,-0.94657,-0.002,0.278,2.18,0.71,2.5,0.83,0.88,0.74,0.0,0.72,0.7,1.6,0.0,0.29,0.13,0.0,0.0,0.32,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54,1.767,0.98,1,60.6,3.4,571.1,0.358,0.013999999999999999,-0.03,0.100438,0.24793400000000002,-0.963556,-0.106744,0.296564,-0.9490290000000001,-0.003,0.27699999999999997,2.22,1.07,2.35,0.97,0.72,0.56,0.0,0.67,0.66,1.52,0.0,0.29,0.01,0.0,0.0,0.34,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
55,1.8,0.98,1,61.1,2.1,570.3,0.35200000000000004,0.02,-0.033,0.12452200000000001,0.246033,-0.9612290000000001,-0.072136,0.293383,-0.953269,0.027000000000000003,0.275,2.15,1.32,2.16,1.0,0.61,0.64,0.0,0.58,0.65,1.52,0.0,0.46,0.01,0.0,0.0,0.24,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
56,1.8330000000000002,0.98,1,61.3,0.8,568.7,0.349,0.023,-0.037000000000000005,0.140664,0.252486,-0.9573209999999999,-0.080438,0.284593,-0.955268,0.031,0.27399999999999997,2.26,1.24,1.92,1.0,0.48,0.53,0.0,0.51,0.69,1.36,0.0,0.58,0.01,0.0,0.0,0.22,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
